method,bits,seed,bytes_per_vector,index_bytes,compress_seconds,query_latency_ms
turboquant,1,2,68.0,2108952,0.034323958214372396,0.21848353906534612
turboquant,1,3,68.0,2108952,0.03399541601538658,0.21662604063749313
turboquant,1,4,68.0,2108952,0.0339625000488013,0.21777812507934868
turboquant,2,0,135.875,33929316,0.579600292025134,0.9256329154595733
turboquant,2,1,135.875,33929316,0.5764868329279125,0.942271874519065
turboquant,2,2,135.875,33929316,0.5774203329347074,0.9350745845586061
turboquant,2,3,135.875,33929316,0.5884099160321057,0.9346414543688297
turboquant,2,4,135.875,33929316,0.5797844170592725,0.9244158351793885
turboquant,3,0,199.75,33929316,0.7325783751439303,0.897104375762865
turboquant,3,1,199.75,33929316,0.7198900419753045,0.9047170856501907
turboquant,3,2,199.75,33929316,0.7277535828761756,0.8924404147546738
turboquant,3,3,199.75,33929316,0.7310816659592092,0.9428552095778286
turboquant,3,4,199.75,33929316,0.730316124856472,0.8885927102528512
turboquant,4,0,263.625,33929316,0.9416790830437094,0.8834314544219524
turboquant,4,1,263.625,33929316,0.9343555408995599,0.9093049995135516
turboquant,4,2,263.625,33929316,0.9474039578344673,0.8872841659467667
turboquant,4,3,263.625,33929316,0.936570999911055,0.9047449997160584
turboquant,4,4,263.625,33929316,0.9448302921373397,0.9120195847935975
faiss_pq,1,0,64.0,1984896,2.3539342500735074,0.09304999955929816
faiss_pq,1,1,64.0,1984896,2.3516074169892818,0.09286207961849868
faiss_pq,1,2,64.0,1984896,2.35511516709812,0.09062604513019323
faiss_pq,1,3,64.0,1984896,2.351467999862507,0.08945062523707747
faiss_pq,1,4,64.0,1984896,2.3430163750890642,0.09821395971812308
faiss_pq,2,0,128.0,3969792,3.3809723330195993,0.12504479032941163
faiss_pq,2,1,128.0,3969792,3.384097791975364,0.11147958575747907
faiss_pq,2,2,128.0,3969792,3.3810191659722477,0.11105853947810829
faiss_pq,2,3,128.0,3969792,3.3857539161108434,0.1096708350814879
faiss_pq,2,4,128.0,3969792,3.380643584067002,0.11652437504380941
faiss_pq,4,0,256.0,7939584,5.502130875131115,0.14309771009720862
faiss_pq,4,1,256.0,7939584,5.490040458040312,0.13985208002850413
faiss_pq,4,2,256.0,7939584,5.485757749993354,0.13517437502741814
faiss_pq,4,3,256.0,7939584,5.484299749834463,0.13644937425851822
faiss_pq,4,4,256.0,7939584,5.4863201670814306,0.13831687509082258
faiss_pq,8,0,512.0,15879168,7.9474237081594765,0.3569204197265208
faiss_pq,8,1,512.0,15879168,7.948812333168462,0.35366979078389704
faiss_pq,8,2,512.0,15879168,7.947843207977712,0.35136750084348023
