method,bits,seed,task,recall_at_1,recall_at_5,recall_at_10,n_queries
polarquant,4,0,T3_text2text,0.297,0.484,0.542,1000
polarquant,4,0,T4_image2image,0.87,0.998,1.0,1000
polarquant,4,1,T1_text2image,0.2,0.371,0.458,1000
polarquant,4,1,T2_image2text,0.4,0.628,0.728,1000
polarquant,4,1,T3_text2text,0.279,0.444,0.515,1000
polarquant,4,1,T4_image2image,0.876,1.0,1.0,1000
polarquant,4,2,T1_text2image,0.199,0.372,0.466,1000
polarquant,4,2,T2_image2text,0.381,0.629,0.718,1000
polarquant,4,2,T3_text2text,0.28,0.448,0.518,1000
polarquant,4,2,T4_image2image,0.881,1.0,1.0,1000
polarquant,4,3,T1_text2image,0.226,0.404,0.491,1000
polarquant,4,3,T2_image2text,0.381,0.658,0.743,1000
polarquant,4,3,T3_text2text,0.297,0.464,0.536,1000
polarquant,4,3,T4_image2image,0.883,1.0,1.0,1000
polarquant,4,4,T1_text2image,0.213,0.402,0.506,1000
polarquant,4,4,T2_image2text,0.397,0.643,0.734,1000
polarquant,4,4,T3_text2text,0.28,0.434,0.513,1000
polarquant,4,4,T4_image2image,0.887,1.0,1.0,1000
turboquant,1,0,T1_text2image,0.045,0.111,0.16,1000
turboquant,1,0,T2_image2text,0.093,0.206,0.268,1000
turboquant,1,0,T3_text2text,0.268,0.437,0.509,1000
turboquant,1,0,T4_image2image,0.427,0.785,0.886,1000
turboquant,1,1,T1_text2image,0.035,0.1,0.145,1000
turboquant,1,1,T2_image2text,0.073,0.188,0.251,1000
turboquant,1,1,T3_text2text,0.253,0.398,0.471,1000
turboquant,1,1,T4_image2image,0.448,0.81,0.893,1000
turboquant,1,2,T1_text2image,0.044,0.1,0.153,1000
turboquant,1,2,T2_image2text,0.082,0.194,0.25,1000
turboquant,1,2,T3_text2text,0.256,0.418,0.492,1000
turboquant,1,2,T4_image2image,0.438,0.785,0.886,1000
turboquant,1,3,T1_text2image,0.038,0.113,0.158,1000
turboquant,1,3,T2_image2text,0.07,0.182,0.263,1000
turboquant,1,3,T3_text2text,0.263,0.45,0.512,1000
turboquant,1,3,T4_image2image,0.459,0.799,0.893,1000
turboquant,1,4,T1_text2image,0.046,0.105,0.152,1000
turboquant,1,4,T2_image2text,0.064,0.17,0.241,1000
turboquant,1,4,T3_text2text,0.254,0.4,0.48,1000
turboquant,1,4,T4_image2image,0.416,0.772,0.885,1000
turboquant,2,0,T1_text2image,0.046,0.098,0.159,1000
turboquant,2,0,T2_image2text,0.073,0.21,0.277,1000
turboquant,2,0,T3_text2text,0.237,0.399,0.461,1000
turboquant,2,0,T4_image2image,0.232,0.55,0.675,1000
turboquant,2,1,T1_text2image,0.043,0.125,0.156,1000
turboquant,2,1,T2_image2text,0.075,0.187,0.263,1000
turboquant,2,1,T3_text2text,0.196,0.341,0.425,1000
turboquant,2,1,T4_image2image,0.256,0.557,0.697,1000
turboquant,2,2,T1_text2image,0.042,0.107,0.157,1000
turboquant,2,2,T2_image2text,0.073,0.183,0.264,1000
turboquant,2,2,T3_text2text,0.209,0.358,0.442,1000
turboquant,2,2,T4_image2image,0.259,0.538,0.66,1000
turboquant,2,3,T1_text2image,0.043,0.126,0.169,1000
turboquant,2,3,T2_image2text,0.059,0.185,0.254,1000
turboquant,2,3,T3_text2text,0.207,0.361,0.45,1000
turboquant,2,3,T4_image2image,0.264,0.606,0.728,1000
turboquant,2,4,T1_text2image,0.038,0.105,0.146,1000
turboquant,2,4,T2_image2text,0.083,0.197,0.259,1000
turboquant,2,4,T3_text2text,0.187,0.353,0.431,1000
turboquant,2,4,T4_image2image,0.234,0.523,0.669,1000
turboquant,3,0,T1_text2image,0.109,0.23,0.308,1000
turboquant,3,0,T2_image2text,0.19,0.381,0.49,1000
turboquant,3,0,T3_text2text,0.259,0.418,0.498,1000
turboquant,3,0,T4_image2image,0.414,0.757,0.865,1000
turboquant,3,1,T1_text2image,0.099,0.223,0.296,1000
turboquant,3,1,T2_image2text,0.167,0.357,0.476,1000
turboquant,3,1,T3_text2text,0.241,0.418,0.488,1000
turboquant,3,1,T4_image2image,0.364,0.731,0.848,1000
turboquant,3,2,T1_text2image,0.1,0.195,0.258,1000
turboquant,3,2,T2_image2text,0.178,0.378,0.483,1000
turboquant,3,2,T3_text2text,0.235,0.414,0.486,1000
turboquant,3,2,T4_image2image,0.405,0.74,0.867,1000
turboquant,3,3,T1_text2image,0.105,0.226,0.299,1000
turboquant,3,3,T2_image2text,0.203,0.395,0.503,1000
turboquant,3,3,T3_text2text,0.253,0.423,0.496,1000
turboquant,3,3,T4_image2image,0.415,0.765,0.867,1000
turboquant,3,4,T1_text2image,0.086,0.2,0.288,1000
turboquant,3,4,T2_image2text,0.199,0.385,0.492,1000
turboquant,3,4,T3_text2text,0.229,0.395,0.478,1000
turboquant,3,4,T4_image2image,0.355,0.747,0.85,1000
turboquant,4,0,T1_text2image,0.157,0.344,0.433,1000
turboquant,4,0,T2_image2text,0.323,0.563,0.669,1000
turboquant,4,0,T3_text2text,0.286,0.45,0.535,1000
turboquant,4,0,T4_image2image,0.58,0.924,0.981,1000
turboquant,4,1,T1_text2image,0.15,0.328,0.406,1000
turboquant,4,1,T2_image2text,0.306,0.534,0.64,1000
turboquant,4,1,T3_text2text,0.262,0.436,0.522,1000
turboquant,4,1,T4_image2image,0.587,0.923,0.979,1000
turboquant,4,2,T1_text2image,0.152,0.32,0.407,1000
turboquant,4,2,T2_image2text,0.311,0.555,0.657,1000
turboquant,4,2,T3_text2text,0.261,0.44,0.507,1000
turboquant,4,2,T4_image2image,0.592,0.938,0.979,1000
turboquant,4,3,T1_text2image,0.183,0.343,0.437,1000
turboquant,4,3,T2_image2text,0.331,0.577,0.668,1000
turboquant,4,3,T3_text2text,0.288,0.45,0.517,1000
turboquant,4,3,T4_image2image,0.582,0.917,0.971,1000
turboquant,4,4,T1_text2image,0.164,0.341,0.442,1000
turboquant,4,4,T2_image2text,0.338,0.55,0.666,1000
turboquant,4,4,T3_text2text,0.264,0.423,0.504,1000
turboquant,4,4,T4_image2image,0.591,0.935,0.978,1000
faiss_pq,1,0,T1_text2image,0.11,0.251,0.334,1000
faiss_pq,1,0,T2_image2text,0.152,0.358,0.468,1000
faiss_pq,1,0,T3_text2text,0.187,0.356,0.426,1000
faiss_pq,1,0,T4_image2image,0.341,0.725,0.862,1000
faiss_pq,1,1,T1_text2image,0.1,0.227,0.316,1000
faiss_pq,1,1,T2_image2text,0.182,0.395,0.511,1000
faiss_pq,1,1,T3_text2text,0.173,0.314,0.389,1000
