method,bits,seed,task,recall_at_1,recall_at_5,recall_at_10,n_queries
polarquant,2,4,T1_text2image,0.157,0.317,0.424,1000
polarquant,2,4,T2_image2text,0.31,0.544,0.635,1000
polarquant,2,4,T3_text2text,0.274,0.425,0.516,1000
polarquant,2,4,T4_image2image,0.694,0.972,0.992,1000
polarquant,3,0,T1_text2image,0.185,0.39,0.484,1000
polarquant,3,0,T2_image2text,0.344,0.597,0.697,1000
polarquant,3,0,T3_text2text,0.3,0.479,0.546,1000
polarquant,3,0,T4_image2image,0.809,0.999,1.0,1000
polarquant,3,1,T1_text2image,0.185,0.367,0.463,1000
polarquant,3,1,T2_image2text,0.37,0.603,0.714,1000
polarquant,3,1,T3_text2text,0.288,0.441,0.516,1000
polarquant,3,1,T4_image2image,0.83,0.997,1.0,1000
polarquant,3,2,T1_text2image,0.195,0.352,0.449,1000
polarquant,3,2,T2_image2text,0.363,0.609,0.708,1000
polarquant,3,2,T3_text2text,0.286,0.44,0.526,1000
polarquant,3,2,T4_image2image,0.847,0.997,1.0,1000
polarquant,3,3,T1_text2image,0.224,0.387,0.479,1000
polarquant,3,3,T2_image2text,0.38,0.628,0.726,1000
polarquant,3,3,T3_text2text,0.295,0.471,0.538,1000
polarquant,3,3,T4_image2image,0.817,0.998,1.0,1000
polarquant,3,4,T1_text2image,0.185,0.401,0.488,1000
polarquant,3,4,T2_image2text,0.371,0.624,0.712,1000
polarquant,3,4,T3_text2text,0.277,0.439,0.507,1000
polarquant,3,4,T4_image2image,0.831,0.999,1.0,1000
polarquant,4,0,T1_text2image,0.199,0.408,0.498,1000
polarquant,4,0,T2_image2text,0.4,0.623,0.733,1000
polarquant,4,0,T3_text2text,0.302,0.483,0.542,1000
polarquant,4,0,T4_image2image,0.905,1.0,1.0,1000
polarquant,4,1,T1_text2image,0.19,0.383,0.482,1000
polarquant,4,1,T2_image2text,0.407,0.635,0.723,1000
polarquant,4,1,T3_text2text,0.279,0.447,0.524,1000
polarquant,4,1,T4_image2image,0.903,1.0,1.0,1000
polarquant,4,2,T1_text2image,0.209,0.373,0.468,1000
polarquant,4,2,T2_image2text,0.376,0.625,0.721,1000
polarquant,4,2,T3_text2text,0.282,0.445,0.522,1000
polarquant,4,2,T4_image2image,0.919,1.0,1.0,1000
polarquant,4,3,T1_text2image,0.229,0.414,0.503,1000
polarquant,4,3,T2_image2text,0.39,0.658,0.731,1000
polarquant,4,3,T3_text2text,0.295,0.461,0.537,1000
polarquant,4,3,T4_image2image,0.905,1.0,1.0,1000
polarquant,4,4,T1_text2image,0.219,0.409,0.501,1000
polarquant,4,4,T2_image2text,0.415,0.657,0.728,1000
polarquant,4,4,T3_text2text,0.282,0.439,0.514,1000
polarquant,4,4,T4_image2image,0.917,1.0,1.0,1000
